"player","gmli","pli","inli","exli"
488912,0.750159375,0.707918181818182,0.707918181818182,NA
488984,0.858130303030303,0.938210869565217,0.880511904761905,0.579512121212121
489002,0.88665,0.776854054054054,0.83607,0.1769
489119,0.798696666666667,0.843209570041609,0.775605319148936,0.953263333333333
489149,1.06978095238095,1.03811486146096,1.04045934343434,NA
489197,0.391,0.65648,0.391,0.4623
489232,1.01539090909091,1.07449821428571,1.07449821428571,NA
489265,1.46358461538462,1.28690769230769,1.46358461538462,1.19938205128205
489267,0.937959793814433,0.956231451612903,0.960092307692308,NA
489294,1.98238,1.50944,1.70913076923077,0.62045
489305,0.850520833333333,0.977801470588235,0.977801470588235,NA
489365,1.07422325581395,0.938094852941176,0.938094852941176,NA
489446,0.774782926829268,0.6880875,0.723775,0.52800243902439
490063,0.847468421052632,1.02257536231884,0.90771,0.988631578947368
491646,1.71631,1.97352939189189,1.72310526315789,0.283044285714286
491676,0.859336363636364,0.9621,0.9621,NA
491696,1.2013,0.826896551724138,0.826896551724138,NA
491703,1.59154193548387,1.71898703703704,1.57122727272727,1.35030967741935
491708,0.947336842105263,0.839960573476702,0.863694736842105,0.823654385964912
492802,0.865866666666667,1.0119,1.0119,NA
492841,0.835906976744186,0.866257547169811,0.866257547169811,NA
493114,0.898430701754386,1.00665851528384,1.00622960526316,NA
493128,0.602907142857143,1.05557692307692,1.05557692307692,NA
493157,1.340572,1.29710597826087,1.340572,1.038978
493193,1.22163689320388,1.09774888178914,1.09466794871795,NA
493200,1.57323947368421,1.71357064516129,1.59666292134831,0.701384210526316
493247,1.04221428571429,0.729676216216216,0.977103225806452,0.972591836734694
493316,0.888884732824427,0.944729074074074,0.946432653061224,NA
493329,1.0251,1.02406911764706,1.02406911764706,NA
493343,0.88724,1.380775,1.380775,NA
493351,0.965242657342657,1.020919,1.02548309859155,NA
493472,0.857754054054054,0.949164772727273,0.949164772727273,NA
493596,1.09980697674419,1.09345323741007,1.09345323741007,NA
493603,1.65617647058824,1.65761238095238,1.67746666666667,0.566535294117647
497807,0.85375,0.896945714285714,1.00483157894737,0.444785714285714
499624,0.91079,1.00748125,1.00748125,NA
500208,0.968657798165138,1.05957307692308,1.06190544217687,NA
500610,0.920729545454545,0.650722831050228,0.847411111111111,0.617381818181818
500724,1.16257571428571,1.08303746223565,1.13681222222222,0.89534
500743,1.0429797752809,1.00244881516588,1.00244881516588,NA
500765,0.7116,0.529174285714286,0.524188888888889,0.411266666666667
500779,0.85061875,1.04300323353293,0.948776851851852,1.19465
500871,0.967218446601942,1.01541684210526,1.01727207446809,0
500874,0.706018181818182,0.887866666666667,0.887866666666667,NA
500887,2.19091666666667,2.19091666666667,2.19091666666667,NA
501255,0.260833333333333,0.725,0.725,NA
501303,1.13007105263158,1.17362253521127,1.17362253521127,NA
501381,0.813528125,0.871076298268975,0.784187027027027,0.9628125
501571,0.942827419354839,0.952579375,0.952579375,NA
501593,1.23871111111111,1.02029268292683,1.116253125,0.91217037037037
501625,1.085815625,0.831125691699605,0.981107142857143,0.7088125
501659,0.9925421875,1.02346335078534,1.01519736842105,NA
501697,0.77209347826087,0.602465427509294,0.653507792207792,0.60810652173913
501789,1.61267878787879,1.69763452380952,1.58950724637681,1.21306060606061
501817,1.22810566037736,1.18764691358025,1.13115405405405,0.945330188679245
501822,1.14655675675676,1.06215355191257,1.16394230769231,0.993924324324324
501888,1.98368571428571,1.53473,1.53473,NA
501896,1.03241094890511,1.01334702258727,1.01525946502058,NA
501925,1.19878888888889,1.37520046511628,1.22024098360656,0.795248148148148
501936,0.714633333333333,0.42426875,0.652433333333333,0.176166666666667
501955,0.673055,0.787139506172839,0.640053846153846,0.61414
501957,0.827513333333333,1.00217318435754,0.948339010989011,1.16633333333333
501981,1.061132,1.05528533772652,1.05605462046205,NA
501986,1.18102307692308,0.898488888888889,0.898488888888889,NA
501992,0.692363636363636,0.955601199040767,0.865389423076923,1.37093181818182
502004,1.15737368421053,1.09476308411215,1.11238169014084,0.902840350877193
502009,0.982505882352941,1.09794758842444,0.94471,1.38094705882353
502026,1.62761694915254,1.91942447257384,1.60405806451613,0.507542372881356
502028,1.34144285714286,1.38260362537764,1.34593333333333,0.99865
502032,0.830614285714286,1.00892018867925,0.919959259259259,1.16134285714286
502034,0.971942424242424,0.86603,0.86603,NA
502042,0.836612121212121,0.895622497055359,0.87652534562212,1.04311212121212
502043,0.816764,0.978455810397553,0.878893209876543,1.233676
502046,0.79762,0.991444798657718,0.895903448275862,0.736186666666667
502051,0.51713,0.359628571428571,0.493818181818182,0.50243
502054,0.878890769230769,1.01485027322404,1.01485027322404,NA
502082,0.985305,0.950746265060241,0.953026086956522,NA
502083,1.14147924528302,0.956519313304721,1.05361343283582,0.805269811320755
502085,1.87458709677419,2.16952284644195,1.89168088235294,0.432172580645161
502087,0.655388888888889,0.293402380952381,0.525715384615385,0.504722222222222
502100,1.01607916666667,1.14811353383459,1.14811353383459,NA
502110,0.956284166666667,1.01429883040936,1.01795616438356,NA
502117,1.9145,1.9145,1.9145,NA
502143,0.973775384615385,0.997426953125,0.997447162426614,NA
502154,1.73723623188406,1.96799801587302,1.727392,0.148884057971015
502171,0.8704,0.71508640776699,0.796013043478261,0.62868
502182,0.77422380952381,0.983711842105263,0.983711842105263,NA
502188,0.8537875,0.958441834451902,0.929174642857143,1.286346875
502190,0.866503333333333,0.935120525657071,0.888390717299578,0.67635
502202,1.44585185185185,1.66387433628319,1.45404285714286,1.3849
502205,1.32466666666667,1.126632,1.126632,NA
502210,0.855057522123894,0.928458275058275,0.928458275058275,NA
502211,0.906633333333333,1.02998625954198,1.00632307692308,1.13406666666667
502226,0.955723076923077,1.0027275,1.0027275,NA
502239,0.959533333333333,0.782581786941581,0.825598913043478,1.088618
502261,1.25856052631579,1.10750740740741,1.10750740740741,NA
502272,0.968953846153846,0.848352976190476,0.912352083333333,0.740815384615385
502273,1.33490666666667,1.20736666666667,1.20736666666667,NA
502285,0.6987125,0.628154545454545,0.676780392156863,0
502317,1.01512682926829,1.05694838709677,1.05694838709677,NA
502327,0.806824242424242,0.938385677749361,0.833991326530612,0.971212121212121
502374,1.23085,1.23085,1.23085,NA
502381,1.73195254237288,1.8380718061674,1.72721147540984,0.920484745762712
502457,1.06668333333333,0.377702,0.55812,0.55575
502481,0.968289130434783,1.09039258160237,1.09039258160237,NA
502517,1.06382676056338,1.05429552495697,1.05781848013817,NA
502522,0.65324,0.523387113402062,0.617403703703704,0.48366
502523,0.97613698630137,0.999963913043478,0.990848471615721,NA
502544,0.949296875,0.904803333333333,0.904803333333333,NA
502582,1.01946086956522,0.972158108108108,0.972158108108108,NA
502593,0.980933333333333,0.74848947368421,0.831916666666667,0.965322222222222
502624,0.857738709677419,1.0405848265896,0.95862,1.15759677419355
502671,0.838333544303797,1.02660157142857,1.02501747851003,NA
502676,0.843519047619048,0.822874074074074,0.822874074074074,NA
502706,0.814745454545455,0.863349782608696,0.815435964912281,0.840254545454545
502748,0.44827,0.660369841269841,0.689287878787879,0.57792
503285,1.40240588235294,1.56678625954198,1.37460540540541,1.25280294117647
503351,0.85598,0.781884615384615,0.781884615384615,NA
503437,0.929757142857143,1.067025,1.067025,NA
503444,0.586131818181818,0.74445910652921,0.760677528089888,0.664318181818182
503449,0.816230434782609,0.903627318718381,0.832337714285714,0.971447826086957
503556,0.967922302158273,1.02101189083821,1.022998046875,NA
504083,0.3435,0.09304,0.183825,0.00275
504186,2.5137,0.723663636363636,1.74823333333333,0.31455
504379,1.06846923076923,0.929338490566038,0.917220547945205,0.964840384615385
506433,0.806782352941176,0.934560576923077,0.823916822429906,1.03
506560,0.941478333333333,1.18738278145695,1.18738278145695,0
506702,1.04465384615385,0.990672924187726,0.994261231884058,NA
506747,0.861138461538462,0.848302325581395,0.848302325581395,NA
506924,1.09710740740741,0.841254237288136,0.841254237288136,NA
514669,0.4912,0.338116666666667,0.4912,0.54785
514888,0.749995031055901,1.00849126760563,1.01241951909477,NA
514913,0.66183125,0.794743373493976,0.83433417721519,0
514917,0.902192207792208,0.955222528363047,0.957969918699187,NA
515052,0.37824,0.391728125,0.378711111111111,0.64616
516414,0.2173,0.232136363636364,0.23085,0.0097
516416,0.836447058823529,0.99020988372093,0.99020988372093,NA
516714,0.95505,0.732644736842105,0.890484210526316,0.918230769230769
516770,0.9605,0.995228192371476,0.998470881863561,NA
516782,0.995127559055118,1.06015296367113,1.05938295019157,NA
516809,1.02181538461538,0.828642105263158,0.828642105263158,NA
516910,0.0305,0.05995625,0.06246,0
516949,1.26431153846154,1.10151296296296,1.10151296296296,NA
516969,1.64663333333333,1.5893829787234,1.62544266666667,0.954215277777778
517008,1.87764912280702,2.24706919642857,1.89736515151515,0.229501754385965
517369,1.33288571428571,1.1173475,1.1173475,NA
517370,1.15464512195122,1.15867212121212,1.15867212121212,NA
517414,1.07026962025316,0.920208928571429,1.01702352941176,0.890094936708861
517448,0.471383333333333,0.39416,0.40265,0.368133333333333
517593,0.819344,0.7847933560477,0.719827152317881,0.97312
517629,0.54215,0.218623529411765,0.30505,0.39635
518397,0.677041176470588,0.643185714285714,0.71555,0.694523529411765
518452,0.833509375,0.957134988452656,0.840199598393574,1.2890125
518466,0.905654054054054,0.958466666666667,0.958466666666667,NA
518468,1.15836097560976,1.29577727272727,1.07176956521739,1.09268780487805
518490,1.08507727272727,0.766877777777778,0.766877777777778,NA
518516,1.01254166666667,1.00897582748245,0.962865349544073,1.05802352941176
518542,1.03549636363636,0.954478534031414,0.959497368421053,NA
518553,1.77059193548387,1.90180620155039,1.78992638888889,0.614890322580645
518560,1.08472222222222,0.917138253012048,0.894325,0.804738888888889
518567,0.593405555555556,0.597423033707865,0.586786274509804,0.37705
518568,1.00829230769231,0.905556603773585,0.905556603773585,NA
518577,1.09178333333333,1.00145714285714,1.00145714285714,NA
518586,0.92648064516129,1.09554179104478,1.09554179104478,NA
518595,1.04872602739726,0.994359782608696,0.994359782608696,NA
518614,0.96055612244898,0.924365972222222,0.927581881533101,NA
518617,1.43706060606061,1.46429452054795,1.44792571428571,1.52274848484848
518618,1.03348346456693,1.0101683046683,1.0101683046683,NA
518625,1.21458,0.729908333333333,0.729908333333333,NA
518626,0.837992903225806,1.02183376436782,1.0216673381295,NA
518633,0.810873809523809,0.9812,0.939528787878788,1.07613333333333
518649,1.0392953125,1.07472718446602,1.04731463414634,NA
