PA,Inning,Batter,Pitcher,Outs,Bases,Score,Des,LI,RE,WE,WPA,RE24
32,? 4,K Plawecki,M Gonzales,2,___,4-4,Kevin Plawecki singled to left (Liner).,0.49,0.09,52.90%,0.015,0.11
33,? 4,J Smith,M Gonzales,2,1__,4-4,Josh Smith fouled out to second.,1,0.2,55.60%,-0.027,-0.2
34,? 4,J Winker,J Gray,0,___,4-4,Jesse Winker walked.,1.07,0.43,60.00%,0.044,0.36
35,? 4,J Kelenic,J Gray,0,1__,4-4,Jarred Kelenic homered (Fly). Jesse Winker scored.,1.83,0.79,80.50%,0.205,1.64
36,? 4,D Moore,J Gray,0,___,6-4,Dylan Moore singled to right (Liner).,0.54,0.43,82.70%,0.022,0.37
37,? 4,A Frazier,J Gray,0,1__,6-4,Adam Frazier walked. Dylan Moore advanced to 2B.,0.9,0.79,86.00%,0.033,0.6
38,? 4,J Crawford,J Gray,0,12_,6-4,J.P. Crawford reached on fielder's choice to second. Dylan Moore advanced to 3B. Adam Frazier out at second.,1.11,1.39,85.00%,-0.009,-0.27
39,? 4,T France,J Gray,1,1_3,6-4,Ty France grounded into a double play to first (Grounder). J.P. Crawford out at second.,1.28,1.12,77.60%,-0.074,-1.12
40,? 5,M Semien,M Gonzales,0,___,6-4,Marcus Semien lined out to shortstop.,1.1,0.43,80.30%,-0.027,-0.21
41,? 5,N Lowe,M Gonzales,1,___,6-4,Nathaniel Lowe grounded out to second.,0.75,0.22,82.10%,-0.017,-0.14
42,? 5,A Garcia,M Gonzales,2,___,6-4,Adolis Garcia grounded out to shortstop.,0.44,0.09,83.10%,-0.011,-0.09
43,? 5,E Suarez,J Gray,0,___,6-4,Eugenio Suarez struck out swinging.,0.5,0.43,81.90%,-0.012,-0.21
44,? 5,M Haniger,J Gray,1,___,6-4,Mitch Haniger struck out swinging.,0.36,0.22,81.10%,-0.009,-0.14
45,? 5,C Raleigh,J Gray,2,___,6-4,Cal Raleigh singled to center (Liner).,0.24,0.09,81.70%,0.007,0.11
46,? 5,J Winker,J Gray,2,1__,6-4,Jesse Winker flied out to right.,0.48,0.2,80.50%,-0.013,-0.2
47,? 6,J Jung,P Murfee,0,___,6-4,Josh Jung struck out swinging.,1.18,0.43,83.30%,-0.029,-0.21
