"","value","gmLI_pLI_diff","inLI_pLI_diff","inLI_exLI_diff"
"264","451532","0.00117094155844155","0.026075968013468","0.025676455026455"
"265","451584","0.00721222608695649","0.00721222608695649","-0.576824637681159"
"266","451594","0.135100855952247","-0.00159510022080178","NaN"
"267","451596","0.161403294975067","0.103615206166186","0.364008880888089"
"268","451661","-0.00952069821017187","-0.00431116661975794","-0.217258986928105"
"269","451713","-0.00439651515151529","0","NaN"
"270","451775","-0.00467090555887628","0.00466783070485999","-0.166159478021978"
"271","451788","-0.018611569416499","-0.0482455462504758","0.0211803088803089"
"272","452027","-1.00151818181818","-0.257951515151515","-0.360633333333333"
"273","452035","-0.177838253968254","0","NaN"
"274","452095","-0.0852153152434156","-0.00297088947310753","NaN"
"275","452104","0.09962225169197","-0.0069786151347262","NaN"
"276","452220","0.0176268456124589","-0.00427759657515869","NaN"
"277","452234","-0.032484181818182","0","NaN"
"278","452239","0.090781530232911","0","NaN"
"279","452252","-0.115126280839399","0","NaN"
"280","452254","0.0660455882352942","0.00393835047305635","NaN"
"281","452655","0.141376612021858","-0.00343707558859974","NaN"
"282","452657","0.228766498316498","0.0420161411736413","0.284621517857143"
"283","452666","0.0165570325900515","0.119087662337662","-0.581052389120314"
"284","452672","-0.0115710215361158","0","NaN"
"285","452678","0.154892003016283","0.000954096707757701","NaN"
"286","452718","0.0132165925925926","0.0520888148148148","0.24362037037037"
"287","452733","-0.0348722222222223","-0.127081630824373","-0.172532325268817"
"288","453056","0.147265069715561","-0.00581621348683381","NaN"
"289","453064","0.0482053036556603","-0.000458778043299968","NaN"
"290","453156","0.00772868480725619","0.0122021990191425","-0.225248708010336"
"291","453172","-0.0821363317100581","-0.013101273230526","-0.141551783625731"
"292","453178","0.0943158709106985","0.03660731235214","0.0660247747747749"
"293","453192","0.201706253443526","0.182098116188624","-1.51686147058824"
"294","453203","-0.0200790043290043","-0.0134527757216876","-0.882781347150259"
"295","453211","0.100270092497431","0","NaN"
"296","453214","0.212989959677419","0.0641099596774194","0.035695"
"297","453222","-0.0582413043478261","-0.019549840933192","-0.104375203252033"
"298","453249","-0.240802381993007","-0.100693006993007","-0.19379375"
"299","453264","-0.251034166666667","-0.213370833333333","-0.471136666666667"
"300","453265","0.145001925813912","0.136093476238796","-0.167078579445246"
"301","453269","-0.0396245983499782","0","NaN"
"302","453286","0.162443153426319","0.030621061288493","0.142650367755222"
"303","453307","-0.0575774193548387","0.00999400921658983","-0.0607952380952381"
"304","453311","0.19097797752809","0.159731439066551","0.170466794871795"
"305","453329","0.0525499646142958","0.0173794449010342","0.287701702508961"
"306","453343","0.105245457368468","0.0962337586505189","-1.50923862179487"
"307","453344","0.313504558823529","0.0278194425444598","0.27349488372093"
"308","453385","-0.271502377717391","-0.0681270153985508","0.318640579710145"
"309","453400","0.056369950668817","0","NaN"
"310","453539","0.0623978056426333","-0.00291288618126617","NaN"
"311","453562","0.0970371620971621","0.00797121693121683","-0.0645810966810968"
"312","453568","0.0774064471840321","-0.000872963072378163","NaN"
"313","453646","0.107303938223938","0.0731152916073968","-0.465948646616541"
"314","453895","-0.0586656265356266","-0.0498602736098853","-0.79667572815534"
"315","453923","0.0193844717444718","0","NaN"
"316","453943","0.181936739839248","-0.00322733564321243","NaN"
"317","454560","-0.0935264420157864","0","NaN"
"318","455009","0.146059221117424","0.15336455806903","-0.113055269109001"
"319","455104","0.0374231746031746","0","NaN"
"320","455117","0.194189432565789","0","NaN"
"321","455119","-0.0722679982817869","-0.0799135442587984","-0.125516379310345"
"322","455139","0.0559027225755168","0","NaN"
"323","455374","-0.128182522318622","-0.0318142607556235","-0.114940829346093"
"324","455755","0.0773382059800662","0","NaN"
"325","455759","0.0270860227272727","-0.00669794278996871","NaN"
"326","455976","0.143566056980057","-0.00279293071377462","NaN"
"327","456027","0.0820327170868347","0.102822598039216","-0.0852720238095238"
"328","456030","0.212556247770473","-0.00260324531708422","NaN"
"329","456034","0.183487240460157","0.0833943415239869","0.35836960106383"
"330","456051","0.156292549019608","0.099635406162465","0.426032857142857"
"331","456068","0.0139325719224596","0.0537552021954124","0.10649570719603"
"332","456071","-0.00923167919799495","0.000189373433583939","-0.0937105263157896"
"333","456078","-0.011382787878788","0","NaN"
"334","456121","-0.0228431941923775","0","-0.941862068965517"
"335","456124","0.0565749999999998","0","NaN"
"336","456379","-0.0686187672747375","-0.0529238215488216","-0.0878617706919946"
"337","456422","0.00558778319028841","0","NaN"
"338","456488","-0.0837395526960784","-0.00900420306736549","NaN"
"339","456496","-0.022131245745405","0.0383610619469026","0.165638461538462"
"340","456501","0.114279670177384","0.0765161527355231","0.0246927325581396"
"341","456665","-0.0199199707413331","0","NaN"
"342","456696","0.0309549475524475","0.0319146697746698","-0.116532777777778"
"343","456701","0.015650909090909","-0.0349115909090909","0.6725875"
"344","456714","-0.0132141490066224","-0.00174054841402338","NaN"
"345","456715","0.176216034400382","1.44000380946085e-05","NaN"
"346","456776","-0.252975980148883","-0.103318903225806","-0.0387044615384615"
"347","456781","-0.00615731868131864","0","NaN"
"348","457117","-0.133932828282828","-0.147792592592593","-0.321123400673401"
"349","457429","0.0482055952380951","0.0369279761904762","-0.298809285714286"
"350","457435","-0.201669642857143","-0.136919642857143","0.150811111111111"
"351","457448","-0.0853812206572769","0.103557112676056","-0.00772833333333334"
"352","457449","0.36165","0","NaN"
"353","457454","0.0476075511126172","-0.00442147089782075","NaN"
"354","457456","0","0","2.0388"
"355","457477","0.027930462962963","-0.00254940653048585","NaN"
"356","457574","-0.262824801061008","0","NaN"
"357","457705","0.266301378793556","0.00442503210133594","NaN"
"358","457706","0.167495720564423","0","NaN"
"359","457708","0.0686863293415799","-0.00162397173817719","NaN"
"360","457711","0.101559819263831","0.0742498271940448","0.116228469468676"
"361","457727","0.120102136489805","-0.00185343837650542","NaN"
"362","457732","0.0330250000000001","0.104142692307692","-0.0868123076923076"
"363","457744","-0.361415150436176","-0.251157964025026","-0.172757447735192"
"364","457754","-0.282426909090909","-0.2448735","0.00416249999999996"
"365","457759","-0.0468585996955859","-0.00182651223054653","NaN"
"366","457760","-0.0946707386363637","0","NaN"
"367","457762","0.709729166666667","0","NaN"
"368","457763","-0.000578150537634325","0","NaN"
"369","457768","-0.0611311587516961","-0.0115135584415584","-0.176468966854042"
"370","457775","0.103171628838451","0","NaN"
"371","457787","-0.00354607843137256","-0.0023657344510285","NaN"
"372","457788","0.107972304943419","0","NaN"
"373","457789","0.146811111111111","0","NaN"
"374","457803","0.0743239592987714","-0.0034174350518239","NaN"
"375","457915","0.788071428571429","0.788071428571429","0.4555"
"376","457918","0.113268581081081","0.0813113695426196","0.521955288461538"
"377","457926","0.298558681318681","0","NaN"
"378","458006","-0.124740476190476","0.00156677018633555","-0.235076086956522"
"379","458015","0.188413744786713","-0.000561358256024991","NaN"
"380","458085","0.056276652101203","-0.0019898830339321","NaN"
"381","458582","0.0195226890756303","0","NaN"
"382","458584","-0.237343520309478","-0.233046913395265","-0.204101877934272"
"383","458668","0","0","NaN"
"384","458675","-0.0207780773574253","-0.000344143621727966","NaN"
"385","458677","-0.0934918365086399","-0.0413710867265997","-0.0635603312990409"
"386","458678","-0.0655402255639098","-0.0200886727688787","0.390827743271221"
"387","458681","0.281625806451613","0.086153164556962","0.102398325847284"
"388","458689","-0.194697324414716","0","NaN"
