half_inning,Batter,Pitcher,Outs,Bases,Play,LI,RE,WE,WPA,RE24
Bot_7,A Bregman,A Munoz,2,1__,Alex Bregman flied out to right.,1.32,0.22,12.60%,-0.037,-0.22
Top_8,T Trammell,B Bielak,0,___,Taylor Trammell doubled to center (Liner).,0.45,0.47,9.30%,0.033,0.6
Top_8,C Raleigh,B Bielak,0,_2_,Cal Raleigh flied out to right. Taylor Trammell advanced to 3B.,0.58,1.07,9.50%,-0.002,-0.16
Top_8,J Winker,B Bielak,1,__3,Jesse Winker singled to left (Grounder). Taylor Trammell scored.,0.84,0.91,6.30%,0.032,0.58
Top_8,T France,S Martinez,1,1__,Ty France singled to left (Grounder). Jesse Winker advanced to 2B.,0.32,0.49,5.50%,0.009,0.38
Top_8,J Rodriguez,S Martinez,1,12_,Julio Rodriguez was hit by a pitch. Jesse Winker advanced to 3B. Ty France advanced to 2B.,0.49,0.87,4.00%,0.015,0.66
Top_8,J Crawford,S Martinez,1,123,J.P. Crawford grounded into a double play to second (Grounder). Julio Rodriguez out at second.,0.63,1.53,7.70%,-0.037,-1.52
Bot_8,Y Alvarez,P Sewald,0,___,Yordan Alvarez flied out to center.,0.99,0.47,5.20%,-0.025,-0.22
Bot_8,K Tucker,P Sewald,1,___,Kyle Tucker flied out to left.,0.61,0.25,3.80%,-0.015,-0.15
Bot_8,Y Gurriel,P Sewald,2,___,Yuli Gurriel flied out to second.,0.28,0.1,3.00%,-0.007,-0.1
Top_9,E Suarez,S Martinez,0,___,Eugenio Suarez walked.,0.12,0.47,2.60%,0.005,0.37
Top_9,A Frazier,S Martinez,0,1__,Adam Frazier grounded into a double play to pitcher (Grounder). Sam Haggerty out at second.,0.19,0.84,3.50%,-0.01,-0.74
Top_9,A Toro,S Martinez,2,___,Abraham Toro grounded out to pitcher.,0.06,0.1,3.70%,-0.002,-0.1
Bot_9,A Diaz,D Castillo,0,___,Aledmys Diaz struck out looking.,0.85,0.47,1.60%,-0.021,-0.22
Bot_9,J Pena,D Castillo,1,___,Jeremy Pena struck out swinging.,0.46,0.25,0.40%,-0.012,-0.15
Bot_9,J Castro,D Castillo,2,___,Jason Castro struck out swinging.,0.16,0.1,0.00%,-0.004,-0.1
